,ID,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Latitude,Longitude
ID,1.0,-0.035719870470451456,-0.0028679663823625704,0.0219885322975601,-0.018815083738401316,0.01357073478255185,0.01285078257660942,0.9826998519092666,0.012761616169444328,0.01392648867649007
Beat,-0.035719870470451456,1.0,0.9558076821001826,0.6437475832445498,-0.49838988020417674,-0.4991710337318909,0.621239093217308,-0.03652083309771497,0.6216649098268127,-0.49568801027275183
District,-0.0028679663823625704,0.9558076821001826,1.0,0.6830754975167916,-0.4936959557226805,-0.539712327226878,0.6278514527317376,-0.003955098095629044,0.6284229905069972,-0.5366207699048288
Ward,0.0219885322975601,0.6437475832445498,0.6830754975167916,1.0,-0.5315694911969656,-0.45007259186286513,0.6460364482165872,0.020744633175959714,0.6461952181620971,-0.4456276367210095
Community Area,-0.018815083738401316,-0.49838988020417674,-0.4936959557226805,-0.5315694911969656,1.0,0.24875956855217865,-0.7564693710116885,-0.019654586481117668,-0.7555474961066826,0.2403446131249432
X Coordinate,0.01357073478255185,-0.4991710337318909,-0.539712327226878,-0.45007259186286513,0.24875956855217865,1.0,-0.46513935164256076,0.01592057219613974,-0.46711587731968,0.9998351079123972
Y Coordinate,0.01285078257660942,0.621239093217308,0.6278514527317376,0.6460364482165872,-0.7564693710116885,-0.46513935164256076,1.0,0.013489673588235536,0.9999938321836541,-0.45974748464182924
Year,0.9826998519092666,-0.03652083309771497,-0.003955098095629044,0.020744633175959714,-0.019654586481117668,0.01592057219613974,0.013489673588235536,1.0,0.013391321107558389,0.0163046536652092
Latitude,0.012761616169444328,0.6216649098268127,0.6284229905069972,0.6461952181620971,-0.7555474961066826,-0.46711587731968,0.9999938321836541,0.013391321107558389,1.0,-0.46177583692591084
Longitude,0.01392648867649007,-0.49568801027275183,-0.5366207699048288,-0.4456276367210095,0.2403446131249432,0.9998351079123972,-0.45974748464182924,0.0163046536652092,-0.46177583692591084,1.0
